checkin_date,checkout_date,hotel_price,time_detected,rate_type,ISP_IP
2025-09-29,2025-09-30,4500,2025-09-29 12:00:04,standard,183.82.7.33
2025-09-29,2025-09-30,4500,2025-09-29 12:00:05,dinner,183.82.7.33
2025-09-29,2025-09-30,3825,2025-09-29 12:00:05,reward,183.82.7.33
2025-09-29,2025-09-30,4500,2025-09-29 18:39:10,standard,183.82.7.33
2025-09-29,2025-09-30,4500,2025-09-29 18:39:10,dinner,183.82.7.33
2025-09-29,2025-09-30,3825,2025-09-29 18:39:11,reward,183.82.7.33
2025-09-30,2025-10-01,4500,2025-09-30 19:02:11,standard,183.82.7.33
2025-09-30,2025-10-01,4500,2025-09-30 19:02:12,dinner,183.82.7.33
2025-09-30,2025-10-01,3825,2025-09-30 19:02:12,reward,183.82.7.33
2025-10-01,2025-10-02,4500,2025-10-01 00:02:10,standard,183.82.7.33
2025-10-01,2025-10-02,4500,2025-10-01 00:02:10,dinner,183.82.7.33
2025-10-01,2025-10-02,3825,2025-10-01 00:02:11,reward,183.82.7.33
2025-10-01,2025-10-02,4500,2025-10-01 13:10:29,standard,183.82.7.33
2025-10-01,2025-10-02,4500,2025-10-01 13:10:30,dinner,183.82.7.33
2025-10-01,2025-10-02,3825,2025-10-01 13:10:31,reward,183.82.7.33
